Geo Point;Geo Shape;id_sir_gp_ecrase_faune;axe;cumuld;plod;absd;date_releve;espece;commune;commentaires;animal_vivant;nb_individus;date_creation;date_modif;source_releve
45.6803088916,5.45783725624;"{""type"": ""Point"", ""coordinates"": [5.457837256236499, 45.680308891611865]}";2794;D1075;28314;22;500;2019-09-09;Blaireau européen;MORESTEL;;NON;1;2020-09-07;2020-09-07;D38
45.1607879362,5.36734188084;"{""type"": ""Point"", ""coordinates"": [5.367341880842863, 45.160787936212266]}";791;D42;4934;4;500;2016-03-24;Ecureuil roux;St Sauveur;;OUI;1;2018-04-04;2020-03-05;D38
44.9162934018,5.95557883977;"{""type"": ""Point"", ""coordinates"": [5.955578839770793, 44.916293401775334]}";1055;D526;44434;44;600;2017-11-07;Sanglier;le perier;petit de 10 KG;NON;1;2019-02-14;2020-03-05;D38
45.2907830926,5.61552499411;"{""type"": ""Point"", ""coordinates"": [5.615524994106324, 45.29078309257025]}";1307;D1532;43079;41;500;2019-09-24;Renard roux;St Quentin sur Isère;;NON;1;2019-10-24;2020-03-05;D38
44.8698948855,5.779333502;"{""type"": ""Point"", ""coordinates"": [5.779333501999174, 44.869894885484165]}";908;D526;25010;25;50;2016-05-07;Blaireau européen;Saint-Jean-d'Hérans;;OUI;1;2018-04-04;2020-03-05;D38
45.7075945642,5.20743982652;"{""type"": ""Point"", ""coordinates"": [5.207439826522276, 45.70759456416915]}";1195;D75;33926;33;800;2017-06-19;Chevreuil européen;Chozeau;;NON;1;2019-04-30;2020-03-05;D38
45.0675269414,5.54881728168;"{""type"": ""Point"", ""coordinates"": [5.548817281677938, 45.06752694136178]}";81;D215;723;0;723;2010-10-05;Chat;Villard-de-Lans;Val de la moliere;;;2012-12-03;2020-03-05;D38
45.074363748,5.31311239799;"{""type"": ""Point"", ""coordinates"": [5.313112397990902, 45.07436374797116]}";351;D518;87131;87;0;2014-02-19;Ecureuil roux;Auberives en Royans;;;;2015-03-10;2020-03-05;D38
45.3587827644,5.56921541059;"{""type"": ""Point"", ""coordinates"": [5.569215410591195, 45.35878276436979]}";998;D1076;3509;3;500;2016-09-09;Martre;Voiron;;NON;1;2018-04-04;2020-03-05;D38
44.9466868534,5.96845160722;"{""type"": ""Point"", ""coordinates"": [5.968451607216806, 44.94668685340588]}";1048;D526;48542;48;700;2017-07-12;Chevreuil européen;le perier;;NON;1;2019-02-14;2020-03-05;D38
44.746804814,5.67872499014;"{""type"": ""Point"", ""coordinates"": [5.678724990141889, 44.74680481395071]}";1398;D1075;157793;152;0;2018-03-08;Blaireau européen;Lalley;;NON;1;2020-03-05;2020-03-05;D38
45.4180606898,5.55196698649;"{""type"": ""Point"", ""coordinates"": [5.551966986491057, 45.4180606897828]}";310;D1075;63634;57;422;2014-05-15;Hérisson d'Europe;Chirens;;;;2015-03-10;2020-03-05;D38
45.7082783377,5.2100294184;"{""type"": ""Point"", ""coordinates"": [5.210029418396569, 45.70827833770945]}";2819;D75;34143;34;0;2019-04-19;Blaireau européen;Chozeau;;NON;1;2020-09-07;2020-09-07;D38
45.3695773636,5.4842701013;"{""type"": ""Point"", ""coordinates"": [5.48427010130135, 45.36957736359573]}";955;D50F;974;1;0;2016-03-02;Renard roux;Rives;;OUI;1;2018-04-04;2020-03-05;D38
45.3834621106,5.71032032484;"{""type"": ""Point"", ""coordinates"": [5.710320324843247, 45.38346211057991]}";164;D520;46600;46;380;2012-11-09;Blaireau européen;Saint-Laurent-du-Pont;;;;2013-04-08;2020-03-05;D38
45.1209718808,5.18869257086;"{""type"": ""Point"", ""coordinates"": [5.188692570860743, 45.12097188075559]}";830;D68;13188;13;200;2016-12-11;Blaireau européen;Montagne;;NON;1;2018-04-04;2020-03-05;D38
44.8678733916,5.61170489007;"{""type"": ""Point"", ""coordinates"": [5.611704890066438, 44.86787339158484]}";1349;D1075;135250;128;500;2017-05-24;Chevreuil européen;Saint Michel Les Portes;;NON;1;2020-03-05;2020-03-05;D38
45.741675355,5.40484517957;"{""type"": ""Point"", ""coordinates"": [5.40484517956842, 45.74167535497783]}";671;D1075;19271;13;500;2016-01-19;Sanglier;COURTENAY;;NON;1;2018-04-04;2020-03-05;D38
44.8712256364,5.65617301428;"{""type"": ""Point"", ""coordinates"": [5.656173014281273, 44.87122563640626]}";1332;D34;5956;6;0;2017-03-13;Blaireau européen;ROISSARD;;NON;1;2020-03-05;2020-03-05;D38
44.9961159416,5.97101054612;"{""type"": ""Point"", ""coordinates"": [5.971010546122008, 44.99611594162267]}";1160;D526;55482;55;600;2018-07-10;Autres;chantelouve;Lièvre;OUI;1;2019-02-18;2020-03-05;D38
45.360137185,5.5680778869;"{""type"": ""Point"", ""coordinates"": [5.568077886897097, 45.36013718503272]}";1087;D1076;3329;3;320;2017-05-31;Renard roux;Voiron;;NON;1;2019-02-14;2020-03-05;D38
45.7464027439,5.47162648849;"{""type"": ""Point"", ""coordinates"": [5.471626488486415, 45.746402743880424]}";2774;D14;5009;5;0;2019-03-09;Chevreuil européen;CREYS MEPIEU;;NON;1;2020-09-07;2020-09-07;D38
45.6689482929,5.35268921218;"{""type"": ""Point"", ""coordinates"": [5.352689212183622, 45.668948292912575]}";437;D522;28622;29;500;2014-09-18;Oiseau sp;;Faisan;;;2015-03-10;2020-03-05;D38
45.0588436425,5.32610027811;"{""type"": ""Point"", ""coordinates"": [5.326100278112603, 45.05884364254709]}";819;D531;5771;7;500;2016-09-26;Ecureuil roux;Auberives;;NON;1;2018-04-04;2020-03-05;D38
45.2641051806,5.35620513325;"{""type"": ""Point"", ""coordinates"": [5.356205133249671, 45.26410518056545]}";781;D22;1452;1;450;2016-02-26;Autres;Serre Nerpol;Lièvre;OUI;1;2018-04-04;2020-03-05;D38
45.2363239668,5.40299450319;"{""type"": ""Point"", ""coordinates"": [5.402994503186098, 45.23632396682465]}";798;D201A;1271;1;270;2016-04-25;Ecureuil roux;Notre Dame de l'Osier;;OUI;1;2018-04-04;2020-03-05;D38
45.3481313872,5.46861820829;"{""type"": ""Point"", ""coordinates"": [5.468618208290039, 45.348131387225685]}";136;D1085;34813;34;790;2012-01-14;Renard roux;Beaucroissant;;;;2013-04-05;2020-03-05;D38
45.5073882448,4.98009802517;"{""type"": ""Point"", ""coordinates"": [4.980098025169504, 45.50738824478288]}";520;D502;10192;9;900;;Oiseau sp;Estrablin;Faisan;Non;2;2016-01-08;2020-03-05;D38
45.692517256,5.3910582082;"{""type"": ""Point"", ""coordinates"": [5.391058208198398, 45.69251725600391]}";399;D517;30043;29;900;;Crapaud commun;Sermerieu;;;;2015-03-10;2020-03-05;D38
45.401467817,5.97895373469;"{""type"": ""Point"", ""coordinates"": [5.978953734687038, 45.401467816951666]}";181;D1090;33634;32;700;2012-02-21;Autres;La Buissière;Chat;;;2014-04-02;2020-03-05;D38
45.6901817448,5.38124405624;"{""type"": ""Point"", ""coordinates"": [5.381244056241176, 45.69018174480122]}";685;D517;29143;29;0;2016-12-01;Sanglier;PASSINS;;NON;1;2018-04-04;2020-03-05;D38
45.7663396037,5.10740543193;"{""type"": ""Point"", ""coordinates"": [5.10740543192786, 45.76633960369934]}";385;D517;1605;1;600;;Autres;Janneyrias;Lièvre;;;2015-03-10;2020-03-05;D38
45.6351550068,5.22854455052;"{""type"": ""Point"", ""coordinates"": [5.228544550515145, 45.63515500680347]}";1204;D163;826;1;0;2017-09-19;Chevreuil européen;Frontonas;;NON;1;2019-04-30;2020-03-05;D38
45.8251012193,5.40795012688;"{""type"": ""Point"", ""coordinates"": [5.40795012688433, 45.825101219267246]}";1447;D1075;9752;5;0;2019-01-24;Autres;Lus la Croix Haute;Lièvre;NON;1;2020-03-05;2020-03-05;D38
45.3374080012,5.61923405755;"{""type"": ""Point"", ""coordinates"": [5.619234057545428, 45.33740800115637]}";239;D1075;75911;69;239;2013-06-26;Ecureuil roux;La Buisse;;;;2014-04-02;2020-03-05;D38
45.8707194944,5.371867623;"{""type"": ""Point"", ""coordinates"": [5.371867623000938, 45.87071949444306]}";1353;D1075;2581;1;500;2017-06-26;Mammifère indéterminé;Lus-La-Croix-Haute;Chien;NON;1;2020-03-05;2020-03-05;D38
45.0657677168,5.53136741417;"{""type"": ""Point"", ""coordinates"": [5.531367414165068, 45.0657677167564]}";652;D215C;2402;2;400;2015-10-02;Renard roux;Villard-de-Lans;;NON;1;2016-03-08;2020-03-05;D38
45.1426477535,5.59443352411;"{""type"": ""Point"", ""coordinates"": [5.594433524107012, 45.14264775353045]}";53;D531;40167;42;0;2012-02-08;Blaireau européen;Lans-en-Vercors;Lolette;;;2012-12-03;2020-03-05;D38
44.8111125643,5.62964834384;"{""type"": ""Point"", ""coordinates"": [5.629648343842354, 44.81111256425995]}";879;D1075;146205;140;0;2016-09-10;Blaireau européen;Clelles;;NON;1;2018-04-04;2020-03-05;D38
45.2022589732,5.63211023943;"{""type"": ""Point"", ""coordinates"": [5.632110239431207, 45.20225897316873]}";73;D531;49012;50;900;2008-01-19;Autres;Engins;Barret - Ecureuil noir;;;2012-12-03;2020-03-05;D38
44.8749980181,5.62521244694;"{""type"": ""Point"", ""coordinates"": [5.625212446940933, 44.874998018130924]}";1451;D1075;133755;127;0;2019-02-18;Chevreuil européen;St Michel les portes;;NON;1;2020-03-05;2020-03-05;D38
44.9665973137,5.64334776346;"{""type"": ""Point"", ""coordinates"": [5.643347763458467, 44.96659731374339]}";914;D110;2458;2;500;2016-11-20;Renard roux;ST MARTIN DE LA CLUZE;;NON;1;2018-04-04;2020-03-05;D38
45.6651043656,5.57102421328;"{""type"": ""Point"", ""coordinates"": [5.571024213283567, 45.66510436563784]}";2768;D33;7938;8;0;2019-01-21;Faisan de Colchide;LE BOUCHAGE;;NON;1;2020-09-07;2020-09-07;D38
45.8629966413,5.34265013111;"{""type"": ""Point"", ""coordinates"": [5.342650131105318, 45.862996641266676]}";1183;D65;23775;23;800;2017-01-27;Autres;La Balme;Belette;NON;1;2019-04-30;2020-03-05;D38
44.8405206276,5.71773915761;"{""type"": ""Point"", ""coordinates"": [5.717739157609016, 44.84052062763108]}";897;D34;14231;14;100;2016-02-27;Blaireau européen;Cornillon-en-Trièves;;OUI;1;2018-04-04;2020-03-05;D38
45.6724117364,5.4773728889;"{""type"": ""Point"", ""coordinates"": [5.477372888904679, 45.672411736383296]}";668;D33;500;0;500;2016-01-15;Autres;MORESTEL;Lièvre;NON;1;2018-04-04;2020-03-05;D38
45.1685980992,5.22731519538;"{""type"": ""Point"", ""coordinates"": [5.227315195382307, 45.16859809923805]}";754;D27B;450;0;450;2016-01-23;Blaireau européen;St Antoinne l'Abbaye;;OUI;1;2018-04-04;2020-03-05;D38
45.7358399553,5.36981875757;"{""type"": ""Point"", ""coordinates"": [5.36981875756919, 45.735839955302225]}";2770;D140A;1299;1;300;2019-02-19;Blaireau européen;COURTENAY;;NON;1;2020-09-07;2020-10-26;D38
44.7787626765,5.64513627902;"{""type"": ""Point"", ""coordinates"": [5.645136279015824, 44.77876267650102]}";1469;D1075;151210;145;350;2019-05-14;Sanglier;Monestier du Percy;;NON;1;2020-03-05;2020-03-05;D38
45.7875094464,5.14326322581;"{""type"": ""Point"", ""coordinates"": [5.143263225808513, 45.78750944639997]}";1208;D55;8363;8;500;2017-10-20;Chevreuil européen;Anthon;;NON;1;2019-04-30;2020-03-05;D38
45.3234119266,5.62152634903;"{""type"": ""Point"", ""coordinates"": [5.621526349034306, 45.3234119265703]}";1106;D1075;77515;70;870;2018-01-27;Renard roux;La buisse;;NON;1;2019-02-14;2020-03-05;D38
44.9417384815,5.64805306929;"{""type"": ""Point"", ""coordinates"": [5.648053069292656, 44.94173848154058]}";1499;D110F;1106;1;100;2019-09-19;Ecureuil roux;SINARD;;NON;1;2020-03-05;2020-03-05;D38
45.2830623763,5.54689661724;"{""type"": ""Point"", ""coordinates"": [5.54689661724028, 45.28306237631074]}";135;D1532;36541;35;0;2011-12-13;Autres;Saint-Quentin-sur-Isère;Ragondin;;;2013-04-05;2020-03-05;D38
45.0672139979,5.54606175723;"{""type"": ""Point"", ""coordinates"": [5.546061757225444, 45.06721399792192]}";1023;D215C;0;0;0;2016-03-08;Chevreuil européen;Villard de Lans;;NON;1;2018-04-04;2020-03-05;D38
45.3688078264,5.63651098835;"{""type"": ""Point"", ""coordinates"": [5.636510988349613, 45.36880782642038]}";140;D520;37698;37;500;2012-02-21;Autres;Saint-Étienne-de-Crossey;Lapin;;;2013-04-05;2020-03-05;D38
44.8625583734,5.77188613896;"{""type"": ""Point"", ""coordinates"": [5.771886138956975, 44.862558373430794]}";1446;D526;23784;23;800;2019-01-21;Blaireau européen;Saint-Jean-d'Hérans;;NON;1;2020-03-05;2020-03-05;D38
44.8963042357,5.85661819852;"{""type"": ""Point"", ""coordinates"": [5.856618198516377, 44.89630423570989]}";615;D26;8299;8;500;2015-12-02;Sanglier;Siévoz;;OUI;1;2016-03-08;2020-03-05;D38
45.3240395381,4.91331371224;"{""type"": ""Point"", ""coordinates"": [4.913313712243113, 45.32403953805862]}";530;D131;22166;22;200;2014-12-21;Chevreuil européen;Bougé-Chambalud;;Non;1;2016-01-08;2020-03-05;D38
44.8727339181,5.74061595516;"{""type"": ""Point"", ""coordinates"": [5.740615955159083, 44.87273391813666]}";1065;D116;6840;7;600;2017-06-15;Blaireau européen;ST AREY;;NON;1;2019-02-14;2020-03-05;D38
45.2823900791,5.61732739746;"{""type"": ""Point"", ""coordinates"": [5.617327397462031, 45.28239007905003]}";957;D1532;44024;42;500;2016-03-05;Sanglier;Veurey;;NON;2;2018-04-04;2020-03-05;D38
45.7906323292,5.40105883435;"{""type"": ""Point"", ""coordinates"": [5.401058834354727, 45.79063232915871]}";1444;D1075;13770;8;0;2019-01-20;Renard roux;Lus-la-Croix-Haute;;NON;1;2020-03-05;2020-03-05;D38
45.3804425372,5.57290668864;"{""type"": ""Point"", ""coordinates"": [5.57290668864184, 45.38044253716769]}";1122;D1076;806;0;806;2018-05-24;Renard roux;Voiron;;NON;1;2019-02-14;2020-03-05;D38
44.8965848008,5.61553311822;"{""type"": ""Point"", ""coordinates"": [5.615533118217555, 44.89658480075606]}";1505;D1075;130946;124;200;2019-10-02;Renard roux;ROISSARD;;NON;1;2020-03-05;2020-03-05;D38
45.3160390876,5.47040806958;"{""type"": ""Point"", ""coordinates"": [5.470408069577978, 45.31603908756752]}";952;D73E;4002;4;0;2016-02-29;Chevreuil européen;Tullins;;OUI;1;2018-04-04;2020-03-05;D38
44.8270773596,5.59561948924;"{""type"": ""Point"", ""coordinates"": [5.59561948924358, 44.82707735961747]}";852;D7;1001;1;0;2016-02-26;Chevreuil européen;Chichilianne;;NON;1;2018-04-04;2020-03-05;D38
45.1978658679,5.29066801486;"{""type"": ""Point"", ""coordinates"": [5.290668014860259, 45.197865867874214]}";840;D20G;2212;2;200;2016-12-22;Renard roux;Chevrieres;;OUI;1;2018-04-04;2020-03-05;D38
45.0433307168,5.84790253212;"{""type"": ""Point"", ""coordinates"": [5.847902532123502, 45.04333071677326]}";731;D114;25409;25;400;2016-03-24;Mammifère indéterminé;St Barthelemy de Séchilienne;Ecureuil noir;NON;1;2018-04-04;2020-03-05;D38
45.1291971223,5.5599035629;"{""type"": ""Point"", ""coordinates"": [5.559903562901356, 45.129197122299836]}";129;D106;31618;32;0;2012-04-13;Autres;Lans-en-Vercors;Croix Perrin - Ecureuil noir;;;2012-12-03;2020-03-05;D38
45.7140816717,5.22230652266;"{""type"": ""Point"", ""coordinates"": [5.222306522661244, 45.714081671712584]}";2827;D75;35352;35;200;2019-10-28;Renard roux;Villemoirieu;;NON;1;2020-09-07;2020-09-07;D38
44.9696132881,5.63890859133;"{""type"": ""Point"", ""coordinates"": [5.638908591334344, 44.969613288123085]}";599;D1075;121311;114;900;2015-11-29;Martre;Saint-Martin-de-la-Cluze;;NON;1;2016-03-08;2020-03-05;D38
45.1082276854,5.3171412308;"{""type"": ""Point"", ""coordinates"": [5.317141230800622, 45.108227685351984]}";813;D1532;8081;6;500;2016-06-29;Hérisson d'Europe;St Romans;;NON;1;2018-04-04;2020-03-05;D38
45.1527301471,5.62032056655;"{""type"": ""Point"", ""coordinates"": [5.620320566554439, 45.1527301470943]}";666;D106;21661;22;0;2015-12-23;Blaireau européen;Saint-Nizier-du-Moucherotte;;NON;1;2016-03-08;2020-03-05;D38
45.4423347203,5.56500969046;"{""type"": ""Point"", ""coordinates"": [5.565009690461084, 45.44233472031868]}";1135;D1075;60516;54;300;2018-09-01;Blaireau européen;Bilieu;;NON;1;2019-02-14;2020-03-05;D38
45.7372054575,5.4053042589;"{""type"": ""Point"", ""coordinates"": [5.405304258897043, 45.73720545750441]}";2754;D1075;19769;14;0;2017-11-09;Blaireau européen;COURTENAY;;NON;1;2020-09-07;2020-09-07;D38
45.1629408852,5.1982374447;"{""type"": ""Point"", ""coordinates"": [5.198237444697711, 45.16294088518661]}";828;D20B;10160;10;100;2016-12-10;Chevreuil européen;Montagne;;OUI;1;2018-04-04;2020-03-05;D38
44.9162934018,5.95557883977;"{""type"": ""Point"", ""coordinates"": [5.955578839770793, 44.916293401775334]}";1053;D526;44434;44;600;2017-10-05;Sanglier;le perier;petit de 10 KG;NON;3;2019-02-14;2020-03-05;D38
45.2058532741,5.20940092492;"{""type"": ""Point"", ""coordinates"": [5.209400924924184, 45.205853274114446]}";836;D20B;4122;4;100;2016-12-20;Autres;Dionay;Lièvre;OUI;1;2018-04-04;2020-03-05;D38
45.2868296389,5.6163806069;"{""type"": ""Point"", ""coordinates"": [5.616380606895551, 45.286829638925916]}";245;D1532;43524;42;0;2013-07-13;Renard roux;Veurey-Voroize;;;;2014-04-02;2020-03-05;D38
45.4548267295,5.56911897852;"{""type"": ""Point"", ""coordinates"": [5.569118978517331, 45.45482672949976]}";234;D1075;59058;52;838;2013-05-13;Fouine;Bilieu;;;;2014-04-02;2020-03-05;D38
45.1775327059,5.64478257622;"{""type"": ""Point"", ""coordinates"": [5.644782576218449, 45.17753270592827]}";644;D106;16082;16;400;2015-08-01;Chevreuil européen;Saint-Nizier-du-Moucherotte;;NON;1;2016-03-08;2020-03-05;D38
45.4928996987,5.70638862544;"{""type"": ""Point"", ""coordinates"": [5.706388625435539, 45.49289969867061]}";283;D82;14055;13;800;2014-01-24;Blaireau européen;St Albin de Vaulsère;;;;2015-03-10;2020-03-05;D38
45.3408285272,5.61251999698;"{""type"": ""Point"", ""coordinates"": [5.612519996984431, 45.34082852719713]}";1004;D1075;75263;68;604;2016-10-10;Blaireau européen;La Buisse;;NON;1;2018-04-04;2020-03-05;D38
45.4143679265,5.75003703167;"{""type"": ""Point"", ""coordinates"": [5.750037031668859, 45.41436792654992]}";313;D520;52124;51;911;2014-05-25;Blaireau européen;Entre deux Guiers;;;;2015-03-10;2020-03-05;D38
45.4596233175,5.57626932382;"{""type"": ""Point"", ""coordinates"": [5.576269323817184, 45.459623317499755]}";967;D1075;58220;52;0;2016-03-25;Blaireau européen;Montferrat;;NON;1;2018-04-04;2020-03-05;D38
45.4012802698,5.66536809497;"{""type"": ""Point"", ""coordinates"": [5.665368094970234, 45.40128026979488]}";254;D49;10254;10;800;2013-09-11;Blaireau européen;Saint-Aupre;;;;2014-04-02;2020-03-05;D38
45.6788960714,5.49516978044;"{""type"": ""Point"", ""coordinates"": [5.495169780438018, 45.678896071381814]}";411;D60A;3491;3;500;;Chevreuil européen;Morestel;;;;2015-03-10;2020-03-05;D38
45.8740982371,5.34490701775;"{""type"": ""Point"", ""coordinates"": [5.344907017754934, 45.87409823713144]}";1192;D65;25058;25;0;2017-06-16;Renard roux;Vertrieu;;NON;1;2019-04-30;2020-03-05;D38
45.2861884777,5.62402393138;"{""type"": ""Point"", ""coordinates"": [5.624023931384272, 45.28618847769504]}";1077;D3;1125;1;0;2017-03-06;Renard roux;Voreppe;;NON;1;2019-02-14;2020-03-05;D38
45.5364234514,5.30160909297;"{""type"": ""Point"", ""coordinates"": [5.301609092971121, 45.536423451411906]}";534;D23A;1891;1;900;2015-01-16;Ecureuil roux;Les Eparres;Ecureuil;NON;1;2016-03-08;2020-03-05;D38
45.8233821551,5.40725357207;"{""type"": ""Point"", ""coordinates"": [5.407253572065004, 45.823382155129245]}";1409;D1075;9952;5;200;2018-06-04;Chevreuil européen;Lus-la-Croix-Haute;;NON;1;2020-03-05;2020-03-05;D38
45.2827236607,5.53457260753;"{""type"": ""Point"", ""coordinates"": [5.534572607527172, 45.2827236607436]}";287;D45;500;0;500;2014-02-18;Blaireau européen;St Quentin/Isère;;;;2015-03-10;2020-03-05;D38
45.6002010909,5.13435636603;"{""type"": ""Point"", ""coordinates"": [5.134356366025779, 45.60020109086505]}";464;D36;24965;25;200;2014-03-17;Chevreuil européen;;;;;2015-03-10;2020-03-05;D38
45.3904826001,5.62267259598;"{""type"": ""Point"", ""coordinates"": [5.622672595983395, 45.39048260011359]}";292;D49;4893;4;938;2014-02-25;Fouine;St Etienne de Crossey;;;;2015-03-10;2020-03-05;D38
45.2950256006,5.50576088282;"{""type"": ""Point"", ""coordinates"": [5.505760882821456, 45.295025600649694]}";1293;D45;3120;3;200;2018-01-21;Chevreuil européen;Tullins;;NON;1;2019-10-24;2020-03-05;D38
45.4817910783,5.63107715025;"{""type"": ""Point"", ""coordinates"": [5.631077150249664, 45.481791078314565]}";200;D28;5532;5;500;2013-01-14;Blaireau européen;Saint-Geoire-en-Valdaine;;;;2014-04-02;2020-03-05;D38
45.139810588,5.60568215945;"{""type"": ""Point"", ""coordinates"": [5.605682159448425, 45.13981058803631]}";1280;D106;24652;25;0;2017-10-23;Autres;Lans en Vercors;Ecureuil;NON;1;2019-04-30;2020-03-05;D38
